time,low,high,open,close,volume
1/13/15,260,260,260,260,1
1/14/15,109.87,221,200,120,11.30463778
1/15/15,150,224,191.99,204.22,2.97732076
1/16/15,189,225.5,210.98,199.46,4.69
1/17/15,184,210,210,184,0.112
1/19/15,210,225.51,210,225.51,0.41
1/20/15,208,218,215,218,0.04
1/21/15,219,225.51,219,225.51,0.13770722
1/22/15,216.59,257.73,245.5,226.32,4.36
1/23/15,215,235,230,235,0.180001
1/24/15,215,250.58,215,240,1.74
1/25/15,245.32,256.26,248.02,254.53,478.7555409
1/26/15,241.43,322.72,262.78,274.48,5180.318794
1/27/15,244.03,278.47,274.73,263.65,1630.211766
1/28/15,228.5,265.99,263.96,236.09,5339.784137
1/29/15,221.14,242,235.89,235.03,6637.404348
1/30/15,227.89,244.59,235,229.07,5774.295652
1/31/15,217.11,234.67,229,218.45,5595.577391
2/1/15,210,233.79,218.67,228.99,7233.474722
2/2/15,220.89,240.1,228.39,237.83,7451.634216
2/3/15,225.32,243.9,237.01,228.58,8321.942989
2/4/15,221.5,230.99,228.77,227.11,9144.882774
2/5/15,215,228.9,227.11,216.76,7405.301529
2/6/15,216.03,226.64,216.84,223.2,5693.965067
2/7/15,222.67,230.5,223.2,229,4099.998908
2/8/15,220,231.6,229.16,223.99,4294.595191
2/9/15,216.45,225,224.01,221.1,6549.989068
2/10/15,215,222,221.13,220.87,5397.879752
2/11/15,217.46,223.61,221.07,219.81,8986.848177
2/12/15,218,224.61,219.96,223.21,7833.47876
2/13/15,221.55,242.36,223.2,236.49,15257.97099
2/14/15,236.08,259.98,236.92,256.66,15320.09615
2/15/15,228,267.86,256.66,235.54,16943.77941
2/16/15,229.6,241,235.54,234.68,10505.84218
2/17/15,233,248,234.41,244.82,16806.65257
2/18/15,231.93,246,244.9,237.49,12926.15314
2/19/15,235.58,245,237.49,240.9,9467.698582
2/20/15,239.99,248.32,241.11,245.34,11201.81203
2/21/15,244,248.43,245.34,245.99,6213.950503
2/22/15,234.01,247.48,245.72,236.83,8280.004721
2/23/15,232,240.97,236.83,239.49,10028.20633
2/24/15,235.51,241.91,239.49,239.87,8923.575579
2/25/15,235.1,241,239.87,238.19,7840.904843
2/26/15,234.33,238.47,238.21,237.11,8549.857126
2/27/15,236.29,259,237.21,254.42,20700.5972
2/28/15,250,256.97,254.42,255.59,7485.383328
3/1/15,244.88,262,255.73,260.24,10419.57556
3/2/15,256.6,279.8,260.29,276.7,18215.97819
3/3/15,267.07,289.5,276.79,283.27,18829.85489
3/4/15,267.39,287,283.09,273.37,14753.67951
3/5/15,262.49,281.09,273.38,276.86,11638.13678
3/6/15,269.12,280,276.54,273.23,10144.84013
3/7/15,270.55,279.44,273.22,276.89,6221.991415
3/8/15,270.29,278.97,276.86,275.5,5138.800031
3/9/15,275,294.42,275.47,290.19,13736.24259
3/10/15,289.82,299.48,290.2,293.47,16271.02187
3/11/15,290.51,297.8,293.46,296.99,9776.451595
3/12/15,291.87,298.9,296.98,296.05,9640.873342
3/13/15,284,296.43,295.87,284,12043.69302
3/14/15,280.86,289,284.37,283.95,7282.596433
3/15/15,282.5,289.24,283.77,288,4415.880156
3/16/15,287.41,294.99,287.99,292.37,8869.056836
3/17/15,284.01,293.69,292.36,286.74,7791.726809
3/18/15,250,287,286.63,258.5,18679.03701
3/19/15,249.2,266.8,258.62,263.05,16404.76508
3/20/15,259.31,267.42,263.06,263.31,7566.590872
3/21/15,256.66,263.62,263.31,261.9,6016.588188
3/22/15,259.71,271.27,261.57,269.45,5819.245293
3/23/15,260.81,273.99,269.25,267.53,13635.26985
3/24/15,244.86,268.51,267.54,246.15,17690.10615
3/25/15,234.51,249.99,246.29,246.88,11846.58154
3/26/15,244.92,254.9,246.99,249.88,10904.28827
3/27/15,246.44,250.99,249.76,247.81,8447.892958
3/28/15,247.81,254.99,247.93,253.52,5888.048705
3/29/15,241,254,253.6,243.69,8522.392785
3/30/15,237.94,250.06,243.6,248.78,11491.65408
3/31/15,242.87,249.98,248.78,245.5,8102.267003
4/1/15,241.07,248.22,245.5,247.87,9892.613475
4/2/15,245.8,255.24,247.5,254.39,8681.547172
4/3/15,252.59,257.43,254.79,254.84,7181.222973
4/4/15,251.26,256.6,255,254.36,4316.351312
4/5/15,252.06,262,254.37,261.47,5194.855041
4/6/15,255,263,261.49,256.85,7500.093842
